지역,업종,사업체규모,연차휴가부여,연차휴가사용,연령대,성별,학력,직업,월평균소득구간
9,16,2,0,0,40대,2,2,4,2
1,14,5,12,12,20대,2,3,3,2
9,7,4,23,8,30대,1,4,3,4
16,14,4,13,2,50대,1,4,3,3
2,2,4,15,7,40대,2,3,3,3
11,2,5,15,15,30대,2,4,3,3
2,6,3,0,0,20대,1,4,5,3
2,6,6,19,19,30대,1,4,3,3
12,6,3,15,10,30대,1,4,3,3
6,12,2,15,15,20대,2,4,3,3
1,5,6,15,12,30대,2,4,3,2
5,16,4,22,16,30대,1,4,3,3
11,2,6,21,21,30대,2,2,7,3
1,8,6,23,13,20대,2,4,4,2
1,16,4,0,0,30대,2,3,3,2
9,12,5,22,21,20대,2,4,2,2
2,15,5,20,20,20대,2,4,3,3
12,14,3,15,15,50대,2,4,3,2
3,14,2,15,8,30대,1,2,2,2
2,9,6,14,7,30대,1,4,3,3
7,2,3,15,7,50대,1,2,4,4
2,2,3,14,0,20대,2,4,3,3
1,14,2,0,0,20대,2,3,2,2
13,7,5,15,2,30대,1,4,3,3
1,6,5,17,17,30대,2,4,3,4
13,4,5,14,10,30대,1,4,3,3
1,6,2,15,0,20대,2,4,3,2
1,16,5,15,15,30대,1,4,3,3
1,11,5,16,10,20대,1,4,3,2
1,10,6,16,14,60대,1,4,1,6
7,14,2,21,6,40대,2,5,3,3
1,13,6,15,3,20대,2,4,3,2
1,14,6,16,7,30대,2,3,3,2
2,6,3,0,0,20대,2,2,3,2
7,2,6,15,15,30대,2,4,3,4
1,6,6,0,0,40대,2,2,3,2
1,8,3,11,11,20대,2,3,4,3
1,14,3,20,20,30대,2,4,2,3
13,12,3,10,10,20대,2,4,3,2
1,12,6,25,25,20대,2,4,3,3
12,2,6,15,15,30대,1,4,3,4
9,2,4,22,17,40대,2,2,3,4
15,1,4,12,12,20대,2,3,3,4
14,10,3,19,3,30대,2,3,3,3
5,12,3,10,10,30대,2,4,3,3
2,13,6,13,13,30대,2,4,3,3
4,7,2,15,8,40대,1,4,3,4
2,9,5,17,13,30대,1,4,3,3
1,13,6,12,0,40대,2,4,3,4
2,9,5,15,0,20대,2,4,3,3
5,4,3,15,3,40대,1,4,1,4
3,2,4,15,15,30대,1,2,3,3
1,9,2,16,16,30대,2,4,3,3
1,11,2,0,0,60대,1,2,8,3
1,13,6,15,0,20대,1,4,3,3
5,16,4,15,11,30대,2,4,3,3
